1001,SC,5,Y,OC,PSB,0,0,1,0,0,0,0,0,0,0,1,0,3,0,OT,M,18,0,AD,PAC
1002,SC,5,MM,PSE,SB,1,1,1,0,0,1,0,1,0,0,0,3,4,0,HS,M,18,5,BA,SA
1003,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,18,4,GD,SA
1004,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LS,M,18,1,BA,MA
1005,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OF,M,18,3,GD,SA
1006,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AD,M,18,0,HS,ENC
1007,SC,1,D,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,NO,O,0,5,OT,P
1008,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HC,O,0,5,OT,P
1009,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,45,5,GD,MT
1010,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,F,61,1,HS,WNC
1011,SC,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BC,M,18,1,BA,ENC
1012,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,PS,M,30,2,BA,SA
1013,MM,10,M,OC,SB,1,0,0,0,0,0,0,0,0,0,0,2,2,1,AD,M,30,3,BA,WNC
1014,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,30,3,GD,PAC
1015,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HC,M,30,3,AD,NE
1016,MM,20,W,SB,PSB,0,0,0,0,1,0,0,0,0,0,1,4,4,3,HC,M,30,2,GD,MT
1017,MM,10,Y,OC,PSB,0,0,1,0,0,0,0,0,1,0,0,2,1,0,OT,M,30,2,AD,MT
1018,DP,5,W,O,O,1,0,1,1,0,0,0,0,0,0,1,2,3,1,OT,M,30,3,GD,SA
1019,DP,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,IS,M,30,5,BA,MT
1020,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,30,2,AD,SA
1021,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,18,2,BA,SA
1022,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CO,M,30,1,HS,ESC
1023,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CO,M,30,2,BA,MT
1024,MM,20,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OF,M,30,2,AD,PAC
1025,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,18,5,OT,MT
1026,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,OT,M,30,2,BA,ENC
1027,DP,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,30,3,GD,SA
1028,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,18,2,BA,PAC
1029,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,30,2,AD,MA
1030,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,30,2,BA,MT
1031,MM,5,W,PSE,OC,0,0,0,0,0,0,0,0,1,0,0,2,2,0,ED,M,30,2,GD,MT
1032,MM,15,MM,SB,SB,0,0,0,0,0,0,0,0,1,1,0,2,2,2,CM,M,30,3,BA,MT
1033,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LF,M,18,3,GD,PAC
1034,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CO,M,30,5,BA,NE
1035,MM,20,Y,OC,PSB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ED,M,30,5,BA,MT
1036,SC,10,M,PSE,OC,1,0,1,0,0,0,0,0,0,0,0,2,3,1,OT,M,30,2,BA,ENC
1037,MM,20,W,OC,PSB,0,0,0,0,0,0,0,0,1,0,1,2,1,1,SA,M,30,3,BA,ENC
1038,MM,15,W,PSE,OC,0,0,0,0,0,0,0,0,0,1,0,2,1,0,TR,M,30,5,BA,SA
1039,MM,10,M,OC,PSB,0,0,0,0,0,0,0,0,0,0,1,1,1,2,CM,M,30,3,AD,NE
1040,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BC,M,30,1,HS,MA
1041,MM,15,M,PSE,SB,0,0,1,0,0,0,0,0,0,0,0,1,1,0,ED,M,30,2,GD,ENC
1042,MM,15,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,30,2,GD,ENC
1043,SC,5,Y,OC,PSB,0,0,0,0,0,1,0,0,0,1,0,2,1,0,BS,M,18,2,BA,NE
1044,MM,15,M,O,PSB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CM,M,30,4,GD,PAC
1045,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AD,M,30,5,BA,MA
